#    L    TT             EE             BB             TE         
   179    5.19835e+03    8.44830e-01    1.54702e-02    -3.62202e+01
   180    5.22145e+03    8.34377e-01    1.56423e-02    -3.54801e+01
   181    5.24407e+03    8.24083e-01    1.58152e-02    -3.47129e+01
   182    5.26624e+03    8.13978e-01    1.59890e-02    -3.39187e+01
   183    5.28793e+03    8.04085e-01    1.61636e-02    -3.30977e+01
   184    5.30913e+03    7.94440e-01    1.63391e-02    -3.22501e+01
   185    5.32985e+03    7.85081e-01    1.65153e-02    -3.13758e+01
   186    5.35007e+03    7.76030e-01    1.66924e-02    -3.04752e+01
   187    5.36979e+03    7.67318e-01    1.68703e-02    -2.95484e+01
   188    5.38900e+03    7.58984e-01    1.70490e-02    -2.85957e+01
   189    5.40769e+03    7.51060e-01    1.72285e-02    -2.76173e+01
   190    5.42586e+03    7.43580e-01    1.74087e-02    -2.66134e+01
   191    5.44350e+03    7.36575e-01    1.75897e-02    -2.55843e+01
   192    5.46061e+03    7.30081e-01    1.77714e-02    -2.45303e+01
   193    5.47716e+03    7.24131e-01    1.79539e-02    -2.34514e+01
   194    5.49318e+03    7.18760e-01    1.81370e-02    -2.23483e+01
   195    5.50864e+03    7.14005e-01    1.83209e-02    -2.12211e+01
   196    5.52354e+03    7.09899e-01    1.85055e-02    -2.00703e+01
   197    5.53789e+03    7.06482e-01    1.86907e-02    -1.88962e+01
   198    5.55169e+03    7.03787e-01    1.88766e-02    -1.76991e+01
   199    5.56492e+03    7.01851e-01    1.90631e-02    -1.64794e+01
   200    5.57759e+03    7.00710e-01    1.92503e-02    -1.52377e+01
   201    5.58968e+03    7.00400e-01    1.94381e-02    -1.39740e+01
   202    5.60119e+03    7.00957e-01    1.96265e-02    -1.26891e+01
   203    5.61210e+03    7.02419e-01    1.98154e-02    -1.13832e+01
   204    5.62242e+03    7.04820e-01    2.00049e-02    -1.00567e+01
   205    5.63211e+03    7.08199e-01    2.01950e-02    -8.71010e+00
   206    5.64118e+03    7.12591e-01    2.03856e-02    -7.34382e+00
   207    5.64962e+03    7.18033e-01    2.05767e-02    -5.95822e+00
   208    5.65742e+03    7.24561e-01    2.07683e-02    -4.55390e+00
   209    5.66461e+03    7.32211e-01    2.09604e-02    -3.13139e+00
   210    5.67117e+03    7.41020e-01    2.11530e-02    -1.69125e+00
   211    5.67712e+03    7.51025e-01    2.13460e-02    -2.34033e-01
   212    5.68246e+03    7.62260e-01    2.15394e-02    1.23971e+00
   213    5.68720e+03    7.74764e-01    2.17333e-02    2.72941e+00
   214    5.69135e+03    7.88573e-01    2.19275e-02    4.23453e+00
   215    5.69490e+03    8.03716e-01    2.21221e-02    5.75447e+00
   216    5.69784e+03    8.20238e-01    2.23170e-02    7.28863e+00
   217    5.70017e+03    8.38169e-01    2.25123e-02    8.83640e+00
   218    5.70188e+03    8.57538e-01    2.27079e-02    1.03973e+01
   219    5.70299e+03    8.78389e-01    2.29038e-02    1.19706e+01
   220    5.70346e+03    9.00751e-01    2.31000e-02    1.35558e+01
   221    5.70332e+03    9.24653e-01    2.32964e-02    1.51522e+01
   222    5.70254e+03    9.50141e-01    2.34931e-02    1.67592e+01
   223    5.70115e+03    9.77234e-01    2.36899e-02    1.83762e+01
   224    5.69913e+03    1.00597e+00    2.38870e-02    2.00026e+01
   225    5.69649e+03    1.03637e+00    2.40843e-02    2.16375e+01
   226    5.69323e+03    1.06848e+00    2.42817e-02    2.32805e+01
   227    5.68936e+03    1.10233e+00    2.44792e-02    2.49308e+01
   228    5.68486e+03    1.13794e+00    2.46769e-02    2.65877e+01
   229    5.67976e+03    1.17535e+00    2.48746e-02    2.82506e+01
   230    5.67404e+03    1.21458e+00    2.50724e-02    2.99188e+01
   231    5.66770e+03    1.25566e+00    2.52703e-02    3.15916e+01
   232    5.66077e+03    1.29861e+00    2.54682e-02    3.32683e+01
   233    5.65322e+03    1.34346e+00    2.56661e-02    3.49481e+01
   234    5.64507e+03    1.39025e+00    2.58640e-02    3.66304e+01
   235    5.63632e+03    1.43899e+00    2.60619e-02    3.83144e+01
   236    5.62696e+03    1.48971e+00    2.62598e-02    3.99995e+01
   237    5.61701e+03    1.54243e+00    2.64575e-02    4.16849e+01
   238    5.60647e+03    1.59717e+00    2.66552e-02    4.33699e+01
   239    5.59534e+03    1.65395e+00    2.68528e-02    4.50538e+01
   240    5.58362e+03    1.71280e+00    2.70502e-02    4.67357e+01
   241    5.57131e+03    1.77374e+00    2.72475e-02    4.84150e+01
   242    5.55843e+03    1.83678e+00    2.74446e-02    5.00909e+01
   243    5.54498e+03    1.90194e+00    2.76416e-02    5.17627e+01
   244    5.53095e+03    1.96924e+00    2.78383e-02    5.34297e+01
   245    5.51637e+03    2.03870e+00    2.80348e-02    5.50912e+01
   246    5.50124e+03    2.11032e+00    2.82310e-02    5.67464e+01
   247    5.48554e+03    2.18412e+00    2.84270e-02    5.83947e+01
   248    5.46932e+03    2.26013e+00    2.86226e-02    6.00353e+01
   249    5.45254e+03    2.33834e+00    2.88180e-02    6.16675e+01
   250    5.43525e+03    2.41877e+00    2.90131e-02    6.32905e+01
   251    5.41741e+03    2.50143e+00    2.92077e-02    6.49034e+01
   252    5.39905e+03    2.58631e+00    2.94021e-02    6.65057e+01
   253    5.38015e+03    2.67344e+00    2.95960e-02    6.80964e+01
   254    5.36075e+03    2.76281e+00    2.97896e-02    6.96748e+01
   255    5.34082e+03    2.85443e+00    2.99827e-02    7.12401e+01
   256    5.32037e+03    2.94830e+00    3.01754e-02    7.27915e+01
   257    5.29942e+03    3.04442e+00    3.03676e-02    7.43284e+01
   258    5.27798e+03    3.14280e+00    3.05593e-02    7.58499e+01
   259    5.25605e+03    3.24343e+00    3.07506e-02    7.73563e+01
   260    5.23366e+03    3.34631e+00    3.09414e-02    7.88455e+01
   261    5.21082e+03    3.45145e+00    3.11316e-02    8.03181e+01
   262    5.18753e+03    3.55884e+00    3.13213e-02    8.17728e+01
   263    5.16381e+03    3.66848e+00    3.15104e-02    8.32095e+01
   264    5.13967e+03    3.78036e+00    3.16990e-02    8.46267e+01
