#    L    TT             EE             BB             TE          
   179    0.46088E-01    0.36755E-03    0.16514E-03    0.11442E-02
   180    0.46854E-01    0.35829E-03    0.16206E-03    0.12091E-02
   181    0.47685E-01    0.34920E-03    0.15911E-03    0.12671E-02
   182    0.48574E-01    0.34029E-03    0.15629E-03    0.13183E-02
   183    0.49516E-01    0.33155E-03    0.15360E-03    0.13632E-02
   184    0.50504E-01    0.32299E-03    0.15104E-03    0.14017E-02
   185    0.51533E-01    0.31462E-03    0.14860E-03    0.14343E-02
   186    0.52596E-01    0.30644E-03    0.14628E-03    0.14610E-02
   187    0.53688E-01    0.29845E-03    0.14408E-03    0.14822E-02
   188    0.54802E-01    0.29066E-03    0.14200E-03    0.14979E-02
   189    0.55933E-01    0.28307E-03    0.14003E-03    0.15085E-02
   190    0.57074E-01    0.27569E-03    0.13818E-03    0.15142E-02
   191    0.58219E-01    0.26852E-03    0.13643E-03    0.15151E-02
   192    0.59363E-01    0.26156E-03    0.13479E-03    0.15115E-02
   193    0.60499E-01    0.25482E-03    0.13326E-03    0.15037E-02
   194    0.61621E-01    0.24831E-03    0.13183E-03    0.14917E-02
   195    0.62724E-01    0.24202E-03    0.13049E-03    0.14759E-02
   196    0.63801E-01    0.23597E-03    0.12926E-03    0.14565E-02
   197    0.64846E-01    0.23014E-03    0.12812E-03    0.14336E-02
   198    0.65854E-01    0.22456E-03    0.12707E-03    0.14076E-02
   199    0.66817E-01    0.21923E-03    0.12612E-03    0.13785E-02
   200    0.67731E-01    0.21413E-03    0.12525E-03    0.13467E-02
   201    0.68591E-01    0.20929E-03    0.12446E-03    0.13124E-02
   202    0.69395E-01    0.20470E-03    0.12376E-03    0.12755E-02
   203    0.70145E-01    0.20035E-03    0.12314E-03    0.12364E-02
   204    0.70842E-01    0.19624E-03    0.12260E-03    0.11950E-02
   205    0.71487E-01    0.19236E-03    0.12213E-03    0.11515E-02
   206    0.72079E-01    0.18871E-03    0.12173E-03    0.11060E-02
   207    0.72621E-01    0.18528E-03    0.12141E-03    0.10587E-02
   208    0.73112E-01    0.18207E-03    0.12115E-03    0.10095E-02
   209    0.73555E-01    0.17907E-03    0.12096E-03    0.95866E-03
   210    0.73948E-01    0.17629E-03    0.12082E-03    0.90626E-03
   211    0.74294E-01    0.17370E-03    0.12075E-03    0.85242E-03
   212    0.74594E-01    0.17132E-03    0.12073E-03    0.79723E-03
   213    0.74847E-01    0.16913E-03    0.12077E-03    0.74081E-03
   214    0.75054E-01    0.16713E-03    0.12086E-03    0.68326E-03
   215    0.75218E-01    0.16532E-03    0.12100E-03    0.62471E-03
   216    0.75338E-01    0.16368E-03    0.12119E-03    0.56525E-03
   217    0.75415E-01    0.16223E-03    0.12141E-03    0.50500E-03
   218    0.75449E-01    0.16094E-03    0.12169E-03    0.44407E-03
   219    0.75443E-01    0.15982E-03    0.12199E-03    0.38257E-03
   220    0.75396E-01    0.15886E-03    0.12234E-03    0.32060E-03
   221    0.75310E-01    0.15806E-03    0.12272E-03    0.25828E-03
   222    0.75185E-01    0.15741E-03    0.12313E-03    0.19572E-03
   223    0.75022E-01    0.15691E-03    0.12356E-03    0.13302E-03
   224    0.74822E-01    0.15654E-03    0.12403E-03    0.70301E-04
   225    0.74585E-01    0.15632E-03    0.12451E-03    0.76703E-05
   226    0.74313E-01    0.15623E-03    0.12502E-03   -0.54764E-04
   227    0.74006E-01    0.15627E-03    0.12554E-03   -0.11689E-03
   228    0.73665E-01    0.15643E-03    0.12608E-03   -0.17860E-03
   229    0.73291E-01    0.15671E-03    0.12664E-03   -0.23978E-03
   230    0.72885E-01    0.15710E-03    0.12720E-03   -0.30033E-03
   231    0.72447E-01    0.15760E-03    0.12777E-03   -0.36013E-03
   232    0.71978E-01    0.15821E-03    0.12834E-03   -0.41908E-03
   233    0.71480E-01    0.15891E-03    0.12892E-03   -0.47705E-03
   234    0.70953E-01    0.15972E-03    0.12949E-03   -0.53395E-03
   235    0.70397E-01    0.16061E-03    0.13007E-03   -0.58967E-03
   236    0.69814E-01    0.16158E-03    0.13064E-03   -0.64408E-03
   237    0.69204E-01    0.16264E-03    0.13120E-03   -0.69710E-03
   238    0.68568E-01    0.16377E-03    0.13175E-03   -0.74859E-03
   239    0.67908E-01    0.16497E-03    0.13228E-03   -0.79846E-03
   240    0.67223E-01    0.16624E-03    0.13280E-03   -0.84659E-03
   241    0.66514E-01    0.16757E-03    0.13330E-03   -0.89288E-03
   242    0.65784E-01    0.16896E-03    0.13378E-03   -0.93721E-03
   243    0.65031E-01    0.17039E-03    0.13424E-03   -0.97948E-03
   244    0.64257E-01    0.17188E-03    0.13467E-03   -0.10196E-02
   245    0.63463E-01    0.17341E-03    0.13507E-03   -0.10574E-02
   246    0.62650E-01    0.17497E-03    0.13544E-03   -0.10928E-02
   247    0.61818E-01    0.17657E-03    0.13578E-03   -0.11257E-02
   248    0.60969E-01    0.17820E-03    0.13608E-03   -0.11560E-02
   249    0.60102E-01    0.17985E-03    0.13634E-03   -0.11835E-02
   250    0.59220E-01    0.18151E-03    0.13656E-03   -0.12083E-02
   251    0.58322E-01    0.18319E-03    0.13673E-03   -0.12301E-02
